Date (WET),BELGIUM (BE),FRANCE (FR),GREAT BRITAIN (GB),GREAT BRITAIN (GB - NORDPOOL),ISEM (ISEM),NETHERLANDS (NL),NORWAY (NO2 - SDAC AUCTION),NORWAY (NO2 - NSL AUCTION)
,GBP/MWh,GBP/MWh,GBP/MWh,GBP/MWh,GBP/MWh,GBP/MWh,GBP/MWh,GBP/MWh
[25/10/2018 02:30],61.17,41.79,51.14,51.14,53.60,35.96,33.76,
[25/10/2018 03:00],62.16,41.85,47.91,47.91,50.30,36.23,34.02,
[25/10/2018 03:30],62.16,41.85,47.91,47.91,50.30,36.23,34.02,
[25/10/2018 04:00],72.40,50.25,51.15,51.15,53.70,40.58,36.35,
[25/10/2018 04:30],72.40,50.25,51.15,51.15,53.70,40.58,36.35,
[25/10/2018 05:00],85.31,61.22,59.48,59.48,59.60,42.62,39.60,
[25/10/2018 05:30],85.31,61.22,59.48,59.48,59.60,42.62,39.60,
[25/10/2018 06:00],102.13,72.05,70.00,70.00,59.90,48.89,41.54,
[25/10/2018 06:30],102.13,72.05,70.00,70.00,59.90,48.89,41.54,
[25/10/2018 07:00],105.88,76.32,72.10,72.10,85.70,53.28,41.66,
[25/10/2018 07:30],105.88,76.32,72.10,72.10,85.70,53.28,41.66,
[25/10/2018 08:00],107.07,74.59,74.00,74.00,106.10,57.63,41.55,
[25/10/2018 08:30],107.07,74.59,74.00,74.00,106.10,57.63,41.55,
[25/10/2018 09:00],107.51,72.22,73.52,73.52,96.30,62.07,40.99,
[25/10/2018 09:30],107.51,72.22,73.52,73.52,96.30,62.07,40.99,
[25/10/2018 10:00],106.56,70.60,69.00,69.00,89.70,44.40,40.48,
[25/10/2018 10:30],106.56,70.60,69.00,69.00,89.70,44.40,40.48,
[25/10/2018 11:00],109.03,66.79,67.99,67.99,73.00,42.18,39.53,
[25/10/2018 11:30],109.03,66.79,67.99,67.99,73.00,42.18,39.53,
[25/10/2018 12:00],104.12,65.76,63.97,63.97,67.10,43.16,39.00,
[25/10/2018 12:30],104.12,65.76,63.97,63.97,67.10,43.16,39.00,
[25/10/2018 13:00],93.31,64.66,62.82,62.82,65.90,43.16,39.18,
[25/10/2018 13:30],93.31,64.66,62.82,62.82,65.90,43.16,39.18,
[25/10/2018 14:00],86.52,62.29,60.52,60.52,62.00,43.16,39.84,
[25/10/2018 14:30],86.52,62.29,60.52,60.52,62.00,43.16,39.84,
[25/10/2018 15:00],80.00,62.16,60.39,60.39,61.80,58.90,40.58,
[25/10/2018 15:30],80.00,62.16,60.39,60.39,61.80,58.90,40.58,
[25/10/2018 16:00],75.63,65.85,67.03,67.03,68.70,65.38,41.37,
[25/10/2018 16:30],75.63,65.85,67.03,67.03,68.70,65.38,41.37,
[25/10/2018 17:00],89.87,75.47,76.83,76.83,80.60,65.78,41.68,
[25/10/2018 17:30],89.87,75.47,76.83,76.83,80.60,65.78,41.68,
[25/10/2018 18:00],111.65,85.49,87.03,87.03,91.30,65.87,41.70,
[25/10/2018 18:30],111.65,85.49,87.03,87.03,91.30,65.87,41.70,
[25/10/2018 19:00],88.70,72.22,73.52,73.52,77.10,57.63,41.57,
[25/10/2018 19:30],88.70,72.22,73.52,73.52,77.10,57.63,41.57,
[25/10/2018 20:00],83.82,67.27,65.35,65.35,68.40,47.44,40.97,
[25/10/2018 20:30],83.82,67.27,65.35,65.35,68.40,47.44,40.97,
[25/10/2018 21:00],77.65,64.28,62.45,62.45,59.50,52.47,40.10,
[25/10/2018 21:30],77.65,64.28,62.45,62.45,59.50,52.47,40.10,
[25/10/2018 22:00],78.49,61.31,59.56,59.56,58.20,46.19,39.26,
[25/10/2018 22:30],78.49,61.31,59.56,59.56,58.20,46.19,39.26,
[25/10/2018 23:00],80.04,60.07,61.22,61.22,58.35,42.46,39.90,
[25/10/2018 23:30],80.04,60.07,61.22,61.22,58.35,42.46,39.90,
[26/10/2018 00:00],63.85,53.54,53.96,53.96,51.43,42.44,39.66,
[26/10/2018 00:30],63.85,53.54,53.96,53.96,51.43,42.44,39.66,
[26/10/2018 01:00],61.72,51.71,52.77,52.77,44.56,41.23,39.66,
[26/10/2018 01:30],61.72,51.71,52.77,52.77,44.56,41.23,39.66,
[26/10/2018 02:00],55.00,48.32,49.31,49.31,41.24,41.46,39.96,
[26/10/2018 02:30],55.00,48.32,49.31,49.31,41.24,41.46,39.96,
[26/10/2018 03:00],44.96,44.69,45.60,45.60,39.73,44.25,40.48,
[26/10/2018 03:30],44.96,44.69,45.60,45.60,39.73,44.25,40.48,
[26/10/2018 04:00],58.81,53.16,52.11,52.11,39.73,44.25,41.70,
[26/10/2018 04:30],58.81,53.16,52.11,52.11,39.73,44.25,41.70,
[26/10/2018 05:00],64.38,62.27,60.64,60.64,44.05,59.01,41.90,
[26/10/2018 05:30],64.38,62.27,60.64,60.64,44.05,59.01,41.90,
[26/10/2018 06:00],73.57,70.33,68.49,68.49,54.16,66.64,43.70,
[26/10/2018 06:30],73.57,70.33,68.49,68.49,54.16,66.64,43.70,
[26/10/2018 07:00],79.19,75.43,73.46,73.46,75.23,71.48,44.17,
[26/10/2018 07:30],79.19,75.43,73.46,73.46,75.23,71.48,44.17,
[26/10/2018 08:00],88.33,78.19,79.79,79.79,88.40,68.82,44.02,
[26/10/2018 08:30],88.33,78.19,79.79,79.79,88.40,68.82,44.02,
[26/10/2018 09:00],88.33,76.35,77.91,77.91,81.74,66.71,43.75,
[26/10/2018 09:30],88.33,76.35,77.91,77.91,81.74,66.71,43.75,
[26/10/2018 10:00],88.33,73.41,71.49,71.49,73.22,59.29,43.35,
[26/10/2018 10:30],88.33,73.41,71.49,71.49,73.22,59.29,43.35,
[26/10/2018 11:00],88.33,68.12,66.34,66.34,67.94,50.72,42.57,
[26/10/2018 11:30],88.33,68.12,66.34,66.34,67.94,50.72,42.57,
[26/10/2018 12:00],89.46,65.83,64.10,64.10,62.59,49.66,42.35,
[26/10/2018 12:30],89.46,65.83,64.10,64.10,62.59,49.66,42.35,
[26/10/2018 13:00],71.34,56.93,55.44,55.44,52.85,45.76,42.12,
[26/10/2018 13:30],71.34,56.93,55.44,55.44,52.85,45.76,42.12,
[26/10/2018 14:00],65.90,54.53,53.10,53.10,50.62,44.25,42.00,
[26/10/2018 14:30],65.90,54.53,53.10,53.10,50.62,44.25,42.00,
[26/10/2018 15:00],62.08,55.26,53.81,53.81,51.29,46.47,42.04,
[26/10/2018 15:30],62.08,55.26,53.81,53.81,51.29,46.47,42.04,
[26/10/2018 16:00],64.03,61.76,60.14,60.14,57.32,58.52,42.07,
[26/10/2018 16:30],64.03,61.76,60.14,60.14,57.32,58.52,42.07,
[26/10/2018 17:00],76.52,69.30,68.40,68.40,66.79,60.48,42.22,
[26/10/2018 17:30],76.52,69.30,68.40,68.40,66.79,60.48,42.22,
[26/10/2018 18:00],105.65,77.46,79.05,79.05,80.96,58.32,42.20,
[26/10/2018 18:30],105.65,77.46,79.05,79.05,80.96,58.32,42.20,
[26/10/2018 19:00],80.60,68.25,69.65,69.65,73.07,46.11,41.85,
[26/10/2018 19:30],80.60,68.25,69.65,69.65,73.07,46.11,41.85,
[26/10/2018 20:00],77.67,60.48,61.72,61.72,64.75,53.12,41.61,
[26/10/2018 20:30],77.67,60.48,61.72,61.72,64.75,53.12,41.61,
[26/10/2018 21:00],80.27,58.55,59.75,59.75,57.82,44.43,39.25,
[26/10/2018 21:30],80.27,58.55,59.75,59.75,57.82,44.43,39.25,
[26/10/2018 22:00],80.51,56.77,55.29,55.29,53.04,41.68,37.71,
[26/10/2018 22:30],80.51,56.77,55.29,55.29,53.04,41.68,37.71,
[26/10/2018 23:00],82.58,60.74,62.22,62.22,60.70,41.68,38.14,
[26/10/2018 23:30],82.58,60.74,62.22,62.22,60.70,41.68,38.14,
[27/10/2018 00:00],83.30,57.21,58.60,58.60,55.90,37.76,36.55,
[27/10/2018 00:30],83.30,57.21,58.60,58.60,55.90,37.76,36.55,
[27/10/2018 01:00],72.54,54.67,56.00,56.00,54.40,36.70,35.53,
[27/10/2018 01:30],72.54,54.67,56.00,56.00,54.40,36.70,35.53,
[27/10/2018 02:00],70.23,48.42,57.00,57.00,54.30,35.92,34.74,
[27/10/2018 02:30],70.23,48.42,57.00,57.00,54.30,35.92,34.74,
[27/10/2018 03:00],55.96,47.06,49.61,49.61,48.40,36.15,34.99,
[27/10/2018 03:30],55.96,47.06,49.61,49.61,48.40,36.15,34.99,
[27/10/2018 04:00],67.32,47.12,48.27,48.27,46.00,38.13,35.86,
[27/10/2018 04:30],67.32,47.12,48.27,48.27,46.00,38.13,35.86,
[27/10/2018 05:00],55.87,47.88,56.73,56.73,54.40,39.99,36.00,
[27/10/2018 05:30],55.87,47.88,56.73,56.73,54.40,39.99,36.00,
[27/10/2018 06:00],70.49,56.48,58.00,58.00,54.40,41.68,38.43,
[27/10/2018 06:30],70.49,56.48,58.00,58.00,54.40,41.68,38.43,
[27/10/2018 07:00],69.13,54.20,55.53,55.53,53.50,43.01,39.65,
[27/10/2018 07:30],69.13,54.20,55.53,55.53,53.50,43.01,39.65,
[27/10/2018 08:00],89.63,65.23,63.77,63.77,60.80,61.82,40.43,
[27/10/2018 08:30],89.63,65.23,63.77,63.77,60.80,61.82,40.43,
[27/10/2018 09:00],90.76,65.71,67.31,67.31,65.70,53.21,40.79,
[27/10/2018 09:30],90.76,65.71,67.31,67.31,65.70,53.21,40.79,
[27/10/2018 10:00],90.54,65.27,66.86,66.86,65.30,46.78,40.87,
[27/10/2018 10:30],90.54,65.27,66.86,66.86,65.30,46.78,40.87,
[27/10/2018 11:00],88.19,64.07,65.63,65.63,62.60,45.12,40.44,
[27/10/2018 11:30],88.19,64.07,65.63,65.63,62.60,45.12,40.44,
[27/10/2018 12:00],69.05,58.18,59.60,59.60,56.80,46.10,40.32,
[27/10/2018 12:30],69.05,58.18,59.60,59.60,56.80,46.10,40.32,
[27/10/2018 13:00],63.85,55.51,56.87,56.87,54.20,49.02,40.33,
[27/10/2018 13:30],63.85,55.51,56.87,56.87,54.20,49.02,40.33,
[27/10/2018 14:00],57.64,54.56,54.82,54.82,52.30,52.09,40.12,
[27/10/2018 14:30],57.64,54.56,54.82,54.82,52.30,52.09,40.12,
[27/10/2018 15:00],59.93,55.67,57.03,57.03,54.40,52.29,40.87,
[27/10/2018 15:30],59.93,55.67,57.03,57.03,54.40,52.29,40.87,
[27/10/2018 16:00],62.36,62.08,63.59,63.59,58.80,61.64,41.48,
[27/10/2018 16:30],62.36,62.08,63.59,63.59,58.80,61.64,41.48,
[27/10/2018 17:00],70.70,70.70,77.25,77.25,75.40,70.70,41.87,
[27/10/2018 17:30],70.70,70.70,77.25,77.25,75.40,70.70,41.87,
[27/10/2018 18:00],83.65,74.70,99.20,99.20,101.60,67.62,41.48,
[27/10/2018 18:30],83.65,74.70,99.20,99.20,101.60,67.62,41.48,
[27/10/2018 19:00],86.06,68.28,79.00,79.00,80.90,53.12,40.86,
[27/10/2018 19:30],86.06,68.28,79.00,79.00,80.90,53.12,40.86,
[27/10/2018 20:00],77.35,61.14,62.63,62.63,64.10,48.29,40.54,
[27/10/2018 20:30],77.35,61.14,62.63,62.63,64.10,48.29,40.54,
[27/10/2018 21:00],75.53,58.34,57.60,57.60,59.00,44.51,40.63,
[27/10/2018 21:30],75.53,58.34,57.60,57.60,59.00,44.51,40.63,
[27/10/2018 22:00],74.25,56.27,55.00,55.00,54.80,48.42,39.22,
[27/10/2018 22:30],74.25,56.27,55.00,55.00,54.80,48.42,39.22,
[27/10/2018 23:00],77.94,57.17,58.70,58.70,60.10,40.79,39.49,
[27/10/2018 23:30],77.94,57.17,58.70,58.70,60.10,40.79,39.49,
[28/10/2018 00:00],60.77,48.62,54.00,54.00,55.30,39.82,38.65,
[28/10/2018 00:30],60.77,48.62,54.00,54.00,55.30,39.82,38.65,
[28/10/2018 01:00],49.20,46.47,52.52,52.52,53.80,38.13,36.91,
[28/10/2018 01:30],49.20,46.47,52.52,52.52,53.80,38.13,36.91,
[28/10/2018 01:00],45.94,44.45,52.59,52.59,53.90,37.80,36.88,
[28/10/2018 01:30],45.94,44.45,52.59,52.59,53.90,37.80,36.88,
[28/10/2018 02:00],45.23,40.72,46.93,46.93,48.10,35.93,35.58,
[28/10/2018 02:30],45.23,40.72,46.93,46.93,48.10,35.93,35.58,
[28/10/2018 03:00],44.25,39.02,47.00,47.00,48.10,35.47,35.48,
[28/10/2018 03:30],44.25,39.02,47.00,47.00,48.10,35.47,35.48,
[28/10/2018 04:00],44.25,39.72,46.90,46.90,48.00,37.49,36.30,
[28/10/2018 04:30],44.25,39.72,46.90,46.90,48.00,37.49,36.30,
[28/10/2018 05:00],48.85,41.92,51.06,51.06,53.40,38.43,37.20,
[28/10/2018 05:30],48.85,41.92,51.06,51.06,53.40,38.43,37.20,
[28/10/2018 06:00],49.56,43.33,53.08,53.08,53.40,39.95,38.67,
[28/10/2018 06:30],49.56,43.33,53.08,53.08,53.40,39.95,38.67,
[28/10/2018 07:00],48.68,44.43,45.62,45.62,50.20,44.12,39.92,
[28/10/2018 07:30],48.68,44.43,45.62,45.62,50.20,44.12,39.92,
[28/10/2018 08:00],48.38,45.32,49.60,49.60,52.00,46.38,40.67,
[28/10/2018 08:30],48.38,45.32,49.60,49.60,52.00,46.38,40.67,
[28/10/2018 09:00],47.73,44.43,53.52,53.52,56.10,42.12,40.78,
[28/10/2018 09:30],47.73,44.43,53.52,53.52,56.10,42.12,40.78,
[28/10/2018 10:00],49.01,44.89,61.60,61.60,64.60,41.81,40.47,
[28/10/2018 10:30],49.01,44.89,61.60,61.60,64.60,41.81,40.47,
[28/10/2018 11:00],53.00,46.65,60.30,60.30,64.30,41.52,40.19,
[28/10/2018 11:30],53.00,46.65,60.30,60.30,64.30,41.52,40.19,
[28/10/2018 12:00],55.69,46.02,64.00,64.00,79.20,41.04,39.73,
[28/10/2018 12:30],55.69,46.02,64.00,64.00,79.20,41.04,39.73,
[28/10/2018 13:00],47.27,41.81,61.03,61.03,79.20,42.57,39.24,
[28/10/2018 13:30],47.27,41.81,61.03,61.03,79.20,42.57,39.24,
[28/10/2018 14:00],42.97,41.67,68.00,68.00,71.30,42.12,39.96,
[28/10/2018 14:30],42.97,41.67,68.00,68.00,71.30,42.12,39.96,
[28/10/2018 15:00],42.12,42.00,76.20,76.20,79.90,42.19,40.33,
[28/10/2018 15:30],42.12,42.00,76.20,76.20,79.90,42.19,40.33,
[28/10/2018 16:00],54.90,49.31,70.00,70.00,89.00,57.94,42.27,
[28/10/2018 16:30],54.90,49.31,70.00,70.00,89.00,57.94,42.27,
[28/10/2018 17:00],70.78,57.66,122.54,122.54,128.60,77.99,42.51,
[28/10/2018 17:30],70.78,57.66,122.54,122.54,128.60,77.99,42.51,
[28/10/2018 18:00],81.49,61.31,99.80,99.80,162.20,70.86,41.06,
[28/10/2018 18:30],81.49,61.31,99.80,99.80,162.20,70.86,41.06,
[28/10/2018 19:00],80.33,58.56,70.00,70.00,129.00,46.38,39.91,
[28/10/2018 19:30],80.33,58.56,70.00,70.00,129.00,46.38,39.91,
[28/10/2018 20:00],78.66,56.77,62.00,62.00,103.20,40.55,39.26,
[28/10/2018 20:30],78.66,56.77,62.00,62.00,103.20,40.55,39.26,
[28/10/2018 21:00],76.87,56.76,58.70,58.70,61.60,44.43,37.76,
[28/10/2018 21:30],76.87,56.76,58.70,58.70,61.60,44.43,37.76,
[28/10/2018 22:00],80.65,53.21,54.63,54.63,57.30,41.68,36.50,
[28/10/2018 22:30],80.65,53.21,54.63,54.63,57.30,41.68,36.50,
[28/10/2018 23:00],56.78,45.89,52.58,52.58,53.85,37.13,35.94,
[28/10/2018 23:30],56.78,45.89,52.58,52.58,53.85,37.13,35.94,
[29/10/2018 00:00],57.69,42.69,53.80,53.80,55.55,35.58,35.53,
[29/10/2018 00:30],57.69,42.69,53.80,53.80,55.55,35.58,35.53,
[29/10/2018 01:00],52.32,38.17,51.91,51.91,53.40,36.40,35.24,
[29/10/2018 01:30],52.32,38.17,51.91,51.91,53.40,36.40,35.24,
[29/10/2018 02:00],44.20,32.31,50.96,50.96,52.19,36.70,35.52,
[29/10/2018 02:30],44.20,32.31,50.96,50.96,52.19,36.70,35.52,
[29/10/2018 03:00],44.29,32.61,52.00,52.00,53.26,37.30,36.11,
[29/10/2018 03:30],44.29,32.61,52.00,52.00,53.26,37.30,36.11,
[29/10/2018 04:00],55.85,42.35,51.41,51.41,50.20,40.19,38.91,
[29/10/2018 04:30],55.85,42.35,51.41,51.41,50.20,40.19,38.91,
[29/10/2018 05:00],64.76,53.56,56.55,56.55,55.21,45.65,40.63,
[29/10/2018 05:30],64.76,53.56,56.55,56.55,55.21,45.65,40.63,
[29/10/2018 06:00],89.85,69.82,71.48,71.48,53.82,62.26,42.71,
[29/10/2018 06:30],89.85,69.82,71.48,71.48,53.82,62.26,42.71,
[29/10/2018 07:00],108.31,75.37,70.00,70.00,57.01,55.64,43.65,
[29/10/2018 07:30],108.31,75.37,70.00,70.00,57.01,55.64,43.65,
[29/10/2018 08:00],127.98,77.48,75.70,75.70,72.16,50.30,43.49,
[29/10/2018 08:30],127.98,77.48,75.70,75.70,72.16,50.30,43.49,
[29/10/2018 09:00],119.00,75.47,73.74,73.74,70.29,51.89,42.86,
[29/10/2018 09:30],119.00,75.47,73.74,73.74,70.29,51.89,42.86,
[29/10/2018 10:00],121.77,75.85,62.00,62.00,59.10,49.14,41.83,
[29/10/2018 10:30],121.77,75.85,62.00,62.00,59.10,49.14,41.83,
[29/10/2018 11:00],112.47,74.13,56.55,56.55,55.21,48.10,41.38,
[29/10/2018 11:30],112.47,74.13,56.55,56.55,55.21,48.10,41.38,
[29/10/2018 12:00],105.90,73.66,57.00,57.00,55.66,44.38,40.97,
[29/10/2018 12:30],105.90,73.66,57.00,57.00,55.66,44.38,40.97,
[29/10/2018 13:00],107.61,73.73,56.57,56.57,55.20,44.38,40.84,
[29/10/2018 13:30],107.61,73.73,56.57,56.57,55.20,44.38,40.84,
[29/10/2018 14:00],109.60,73.87,62.00,62.00,57.82,44.47,40.88,
[29/10/2018 14:30],109.60,73.87,62.00,62.00,57.82,44.47,40.88,
[29/10/2018 15:00],104.34,73.59,64.00,64.00,61.01,46.60,41.37,
[29/10/2018 15:30],104.34,73.59,64.00,64.00,61.01,46.60,41.37,
[29/10/2018 16:00],123.48,87.77,85.75,85.75,81.74,83.17,41.77,
[29/10/2018 16:30],123.48,87.77,85.75,85.75,81.74,83.17,41.77,
[29/10/2018 17:00],179.62,107.22,109.77,109.77,106.17,46.96,41.62,
[29/10/2018 17:30],179.62,107.22,109.77,109.77,106.17,46.96,41.62,
[29/10/2018 18:00],206.88,101.44,103.85,103.85,101.40,42.25,40.58,
[29/10/2018 18:30],206.88,101.44,103.85,103.85,101.40,42.25,40.58,
[29/10/2018 19:00],125.57,74.59,76.37,76.37,74.57,42.69,39.94,
[29/10/2018 19:30],125.57,74.59,76.37,76.37,74.57,42.69,39.94,
[29/10/2018 20:00],100.50,64.93,64.10,64.10,62.59,46.25,38.39,
[29/10/2018 20:30],100.50,64.93,64.10,64.10,62.59,46.25,38.39,
[29/10/2018 21:00],102.90,61.72,58.91,58.91,57.01,44.56,36.53,
[29/10/2018 21:30],102.90,61.72,58.91,58.91,57.01,44.56,36.53,
[29/10/2018 22:00],100.32,57.82,52.02,52.02,53.77,46.96,35.58,
[29/10/2018 22:30],100.32,57.82,52.02,52.02,53.77,46.96,35.58,
[29/10/2018 23:00],71.76,53.86,55.03,55.03,54.90,36.81,35.63,
[29/10/2018 23:30],71.76,53.86,55.03,55.03,54.90,36.81,35.63,
[30/10/2018 00:00],76.67,52.10,53.04,53.04,54.30,36.79,35.61,
[30/10/2018 00:30],76.67,52.10,53.04,53.04,54.30,36.79,35.61,
[30/10/2018 01:00],75.76,47.22,51.97,51.97,53.30,36.34,35.18,
[30/10/2018 01:30],75.76,47.22,51.97,51.97,53.30,36.34,35.18,
[30/10/2018 02:00],69.74,46.88,51.58,51.58,53.30,36.25,35.09,
[30/10/2018 02:30],69.74,46.88,51.58,51.58,53.30,36.25,35.09,
[30/10/2018 03:00],87.23,47.31,51.04,51.04,53.50,36.49,35.32,
[30/10/2018 03:30],87.23,47.31,51.04,51.04,53.50,36.49,35.32,
[30/10/2018 04:00],80.33,51.07,52.00,52.00,53.70,37.84,36.63,
[30/10/2018 04:30],80.33,51.07,52.00,52.00,53.70,37.84,36.63,
[30/10/2018 05:00],119.96,65.86,63.98,63.98,64.50,46.95,38.38,
[30/10/2018 05:30],119.96,65.86,63.98,63.98,64.50,46.95,38.38,
[30/10/2018 06:00],131.48,74.35,68.78,68.78,64.50,56.50,40.07,
[30/10/2018 06:30],131.48,74.35,68.78,68.78,64.50,56.50,40.07,
[30/10/2018 07:00],126.15,80.44,63.80,63.80,73.90,62.22,40.00,
[30/10/2018 07:30],126.15,80.44,63.80,63.80,73.90,62.22,40.00,
[30/10/2018 08:00],145.35,81.32,79.00,79.00,84.80,77.05,39.48,
[30/10/2018 08:30],145.35,81.32,79.00,79.00,84.80,77.05,39.48,
[30/10/2018 09:00],131.44,77.06,74.86,74.86,82.90,73.01,39.37,
[30/10/2018 09:30],131.44,77.06,74.86,74.86,82.90,73.01,39.37,
[30/10/2018 10:00],129.24,71.41,69.38,69.38,79.90,67.67,39.42,
[30/10/2018 10:30],129.24,71.41,69.38,69.38,79.90,67.67,39.42,
[30/10/2018 11:00],115.40,63.62,61.81,61.81,86.10,60.29,39.21,
[30/10/2018 11:30],115.40,63.62,61.81,61.81,86.10,60.29,39.21,
[30/10/2018 12:00],99.79,62.66,60.88,60.88,86.10,53.56,39.07,
[30/10/2018 12:30],99.79,62.66,60.88,60.88,86.10,53.56,39.07,
[30/10/2018 13:00],87.76,61.97,60.21,60.21,73.90,49.00,39.19,
[30/10/2018 13:30],87.76,61.97,60.21,60.21,73.90,49.00,39.19,
[30/10/2018 14:00],81.72,60.53,58.80,58.80,73.90,47.40,39.85,
[30/10/2018 14:30],81.72,60.53,58.80,58.80,73.90,47.40,39.85,
[30/10/2018 15:00],80.49,60.60,60.00,60.00,73.90,53.56,40.52,
[30/10/2018 15:30],80.49,60.60,60.00,60.00,73.90,53.56,40.52,
[30/10/2018 16:00],99.79,69.51,70.76,70.76,90.80,57.13,41.38,
[30/10/2018 16:30],99.79,69.51,70.76,70.76,90.80,57.13,41.38,
[30/10/2018 17:00],147.38,92.40,100.01,100.01,119.80,44.72,41.17,
[30/10/2018 17:30],147.38,92.40,100.01,100.01,119.80,44.72,41.17,
[30/10/2018 18:00],99.79,90.34,92.00,92.00,134.90,45.34,40.09,
[30/10/2018 18:30],99.79,90.34,92.00,92.00,134.90,45.34,40.09,
[30/10/2018 19:00],76.35,69.22,70.47,70.47,112.40,49.99,39.29,
[30/10/2018 19:30],76.35,69.22,70.47,70.47,112.40,49.99,39.29,
[30/10/2018 20:00],79.16,65.17,66.35,66.35,87.20,45.70,38.21,
[30/10/2018 20:30],79.16,65.17,66.35,66.35,87.20,45.70,38.21,
[30/10/2018 21:00],80.90,62.81,63.95,63.95,67.60,40.52,36.00,
[30/10/2018 21:30],80.90,62.81,63.95,63.95,67.60,40.52,36.00,
[30/10/2018 22:00],87.86,58.43,56.77,56.77,59.60,36.60,35.43,
[30/10/2018 22:30],87.86,58.43,56.77,56.77,59.60,36.60,35.43,
[30/10/2018 23:00],84.76,58.51,59.75,59.75,62.68,34.36,33.26,
[30/10/2018 23:30],84.76,58.51,59.75,59.75,62.68,34.36,33.26,
[31/10/2018 00:00],78.15,53.89,55.39,55.39,57.33,33.96,32.87,
[31/10/2018 00:30],78.15,53.89,55.39,55.39,57.33,33.96,32.87,
[31/10/2018 01:00],85.51,52.83,54.30,54.30,56.57,34.59,33.37,
[31/10/2018 01:30],85.51,52.83,54.30,54.30,56.57,34.59,33.37,
[31/10/2018 02:00],82.43,49.80,51.19,51.19,52.42,34.59,33.20,
[31/10/2018 02:30],82.43,49.80,51.19,51.19,52.42,34.59,33.20,
[31/10/2018 03:00],80.35,49.21,50.58,50.58,51.80,35.22,34.10,
[31/10/2018 03:30],80.35,49.21,50.58,50.58,51.80,35.22,34.10,
[31/10/2018 04:00],86.02,50.59,52.00,52.00,51.59,37.32,36.13,
[31/10/2018 04:30],86.02,50.59,52.00,52.00,51.59,37.32,36.13,
[31/10/2018 05:00],91.04,60.91,59.74,59.74,57.95,56.76,38.59,
[31/10/2018 05:30],91.04,60.91,59.74,59.74,57.95,56.76,38.59,
[31/10/2018 06:00],119.01,69.23,67.90,67.90,64.72,44.25,39.85,
[31/10/2018 06:30],119.01,69.23,67.90,67.90,64.72,44.25,39.85,
[31/10/2018 07:00],129.33,77.83,76.34,76.34,76.95,46.47,39.75,
[31/10/2018 07:30],129.33,77.83,76.34,76.34,76.95,46.47,39.75,
[31/10/2018 08:00],124.03,77.22,75.74,75.74,79.46,61.99,39.19,
[31/10/2018 08:30],124.03,77.22,75.74,75.74,79.46,61.99,39.19,
[31/10/2018 09:00],112.89,73.17,71.76,71.76,75.29,50.02,38.87,
[31/10/2018 09:30],112.89,73.17,71.76,71.76,75.29,50.02,38.87,
[31/10/2018 10:00],112.40,73.39,71.98,71.98,75.52,48.77,39.05,
[31/10/2018 10:30],112.40,73.39,71.98,71.98,75.52,48.77,39.05,
[31/10/2018 11:00],102.99,69.46,65.00,65.00,68.19,48.77,39.13,
[31/10/2018 11:30],102.99,69.46,65.00,65.00,68.19,48.77,39.13,
[31/10/2018 12:00],95.83,68.19,66.00,66.00,69.24,45.58,39.44,
[31/10/2018 12:30],95.83,68.19,66.00,66.00,69.24,45.58,39.44,
[31/10/2018 13:00],74.59,63.73,62.50,62.50,68.61,54.67,39.87,
[31/10/2018 13:30],74.59,63.73,62.50,62.50,68.61,54.67,39.87,
[31/10/2018 14:00],68.83,64.73,63.49,63.49,68.61,61.33,40.35,
[31/10/2018 14:30],68.83,64.73,63.49,63.49,68.61,61.33,40.35,
[31/10/2018 15:00],70.86,68.58,67.26,67.26,73.90,64.98,40.54,
[31/10/2018 15:30],70.86,68.58,67.26,67.26,73.90,64.98,40.54,
[31/10/2018 16:00],81.42,75.95,78.06,78.06,89.13,72.78,40.88,
[31/10/2018 16:30],81.42,75.95,78.06,78.06,89.13,72.78,40.88,
[31/10/2018 17:00],123.66,84.68,88.32,88.32,124.66,65.64,40.70,
[31/10/2018 17:30],123.66,84.68,88.32,88.32,124.66,65.64,40.70,
[31/10/2018 18:00],118.49,77.90,84.95,84.95,162.37,55.16,40.11,
[31/10/2018 18:30],118.49,77.90,84.95,84.95,162.37,55.16,40.11,
[31/10/2018 19:00],99.59,67.33,69.75,69.75,140.03,44.41,39.59,
[31/10/2018 19:30],99.59,67.33,69.75,69.75,140.03,44.41,39.59,
[31/10/2018 20:00],82.77,59.52,61.18,61.18,89.13,55.87,38.69,
[31/10/2018 20:30],82.77,59.52,61.18,61.18,89.13,55.87,38.69,
[31/10/2018 21:00],86.38,59.37,61.80,61.80,74.61,46.56,37.48,
[31/10/2018 21:30],86.38,59.37,61.80,61.80,74.61,46.56,37.48,
[31/10/2018 22:00],77.93,53.78,55.27,55.27,65.43,46.02,35.77,
[31/10/2018 22:30],77.93,53.78,55.27,55.27,65.43,46.02,35.77,
[31/10/2018 23:00],70.23,51.43,53.77,53.77,56.41,39.82,36.40,
[31/10/2018 23:30],70.23,51.43,53.77,53.77,56.41,39.82,36.40,
[01/11/2018 00:00],63.62,48.35,53.27,53.27,55.88,37.30,36.10,
[01/11/2018 00:30],63.62,48.35,53.27,53.27,55.88,37.30,36.10,
[01/11/2018 01:00],52.70,43.59,53.33,53.33,55.29,38.65,35.65,
