Date (WET),Capacity,Capacity Inferred (EnAppSys),Sheffield Solar Outturn (Max),Sheffield Solar Outturn,National Grid Forecast (Max),Sheffield Solar Upper Bound,Sheffield Solar Lower Bound,National Grid Forecast,Solar Forecast (EnAppSys),Solar D-1 Forecast (EnAppSys),Solar P10 Forecast (EnAppSys),Solar P90 Forecast (EnAppSys)
,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW
[21/10/2018 21:00],12960.0,11620.6,0.0,0.0,2.0,0.0,0.0,2.0,,,,
[21/10/2018 21:30],12960.0,11620.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,
[21/10/2018 22:00],12960.0,11620.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,
[21/10/2018 22:30],12960.0,11620.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,
[21/10/2018 23:00],12960.0,11620.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,
[21/10/2018 23:30],12960.0,11620.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,
[22/10/2018 00:00],12960.0,11620.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,
[22/10/2018 00:30],12960.0,11620.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,
[22/10/2018 01:00],12960.0,11620.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,
[22/10/2018 01:30],12960.0,11620.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,
[22/10/2018 02:00],12960.0,11620.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,
[22/10/2018 02:30],12960.0,11620.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,
[22/10/2018 03:00],12960.0,11620.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,
[22/10/2018 03:30],12960.0,11620.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,
[22/10/2018 04:00],12960.0,11620.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,
[22/10/2018 04:30],12960.0,11620.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,
[22/10/2018 05:00],12960.0,11620.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,
[22/10/2018 05:30],12960.0,11620.6,0.0,0.0,0.0,0.1,0.0,0.0,,,,
[22/10/2018 06:00],12960.0,11620.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,
[22/10/2018 06:30],12960.0,11620.6,0.1,0.1,0.0,0.1,0.0,0.0,,,,
[22/10/2018 07:00],12960.0,11620.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,
[22/10/2018 07:30],12960.0,11620.6,30.5,30.5,31.0,31.7,29.2,31.0,,,,
[22/10/2018 08:00],12960.0,11620.6,543.0,543.0,546.0,556.0,529.0,546.0,,,,
[22/10/2018 08:30],12960.0,11620.6,1590.0,1590.0,1600.0,1620.0,1560.0,1600.0,,,,
[22/10/2018 09:00],12960.0,11620.6,2670.0,2670.0,2690.0,2710.0,2630.0,2690.0,,,,
