Date (WET),DEMAND (INDO),DEMAND (ITSDO),DEMAND (NATIONAL GRID),DEMAND (ENTSOE),DEMAND FORECAST (ENTSOE),DEMAND FORECAST (NDF),DEMAND FORECAST (TSDF)
,MW,MW,MW,MW,MW,MW,MW
[27/10/2018 06:00],23780,24776,,27578,25759,22658,23670
[27/10/2018 06:30],25325,25842,,27578,25759,24006,24506
[27/10/2018 07:00],27488,28000,,31781,29300,25901,26401
[27/10/2018 07:30],29021,29534,,31781,29300,27580,28080
[27/10/2018 08:00],30738,31587,,34317,32404,29182,30024
[27/10/2018 08:30],31223,32084,,34317,32404,30000,30842
[27/10/2018 09:00],31865,32376,,37108,34334,31033,31533
[27/10/2018 09:30],31680,32197,,37108,34334,31400,31900
[27/10/2018 10:00],31293,31806,,37650,34647,31560,32060
[27/10/2018 10:30],30815,31327,,37650,34647,31000,31500
[27/10/2018 11:00],30340,30853,,37773,34649,30658,31158
[27/10/2018 11:30],30300,30805,,37773,34649,30231,30731
[27/10/2018 12:00],30313,30820,,37598,34320,29759,30259
[27/10/2018 12:30],30238,30887,,37598,34320,29429,30079
[27/10/2018 13:00],30098,30989,,36679,33307,28796,29674
[27/10/2018 13:30],29969,30861,,36679,33307,28607,29485
[27/10/2018 14:00],30245,31158,,36318,32732,28600,29505
[27/10/2018 14:30],30344,31310,,36318,32732,28610,29515
[27/10/2018 15:00],30850,31520,,37350,33039,28976,29631
[27/10/2018 15:30],31139,31807,,37350,33039,29605,30260
[27/10/2018 16:00],32165,32832,,38765,35002,30790,31445
[27/10/2018 16:30],33560,34186,,38765,35002,32380,33032
[27/10/2018 17:00],35336,35846,,41426,38217,34178,34678
[27/10/2018 17:30],36689,37204,,41426,38217,36300,36800
[27/10/2018 18:00],37621,38249,,42443,38632,37200,37833
[27/10/2018 18:30],37348,38055,,42443,38632,37072,37767
[27/10/2018 19:00],36526,37293,,40668,36168,35811,36565
[27/10/2018 19:30],35215,36088,,40668,36168,34724,35576
[27/10/2018 20:00],34120,34896,,37534,33895,33728,34489
[27/10/2018 20:30],33062,33841,,37534,33895,32690,33456
[27/10/2018 21:00],31852,32464,,34918,31434,31563,32148
[27/10/2018 21:30],30557,31093,,34918,31434,30401,30923
[27/10/2018 22:00],29259,29896,,32057,28713,29158,29783
[27/10/2018 22:30],27813,28585,,32057,28713,27834,28587
[27/10/2018 23:00],26243,27326,,29300,25968,26362,27571
[27/10/2018 23:30],24833,26210,,29300,25968,25000,26393
[28/10/2018 00:00],23643,25092,,26842,24728,24000,25539
[28/10/2018 00:30],23142,24694,,26842,24728,23100,24649
[28/10/2018 01:00],22982,24601,,26704,25407,23300,24849
[28/10/2018 01:30],23313,24595,,26704,25407,23700,25121
[28/10/2018 01:00],23185,24589,,26443,24339,23404,24899
[28/10/2018 01:30],22702,24181,,26443,24339,22860,24354
[28/10/2018 02:00],22382,24096,,25412,23582,22584,24320
[28/10/2018 02:30],22157,24182,,25412,23582,22461,24374
[28/10/2018 03:00],21787,24127,,24350,23647,22385,24865
[28/10/2018 03:30],21564,24057,,24350,23647,22020,24508
[28/10/2018 04:00],21420,23912,,24025,23727,21941,24439
[28/10/2018 04:30],21497,23801,,24025,23727,21900,24303
[28/10/2018 05:00],21822,23988,,24526,24380,22264,24420
[28/10/2018 05:30],22383,24458,,24526,24380,22595,24653
[28/10/2018 06:00],23522,25127,,27135,26082,23953,25530
[28/10/2018 06:30],24394,25739,,27135,26082,24586,26044
[28/10/2018 07:00],25818,26919,,30092,28590,25724,26809
[28/10/2018 07:30],26957,28323,,30092,28590,26808,28174
[28/10/2018 08:00],28494,30001,,33929,32119,28330,29819
[28/10/2018 08:30],29462,30934,,33929,32119,29100,30547
[28/10/2018 09:00],30011,31386,,36569,34956,30338,31692
[28/10/2018 09:30],29905,31221,,36569,34956,30740,32038
[28/10/2018 10:00],29792,31130,,37318,36218,31100,32417
[28/10/2018 10:30],29276,30623,,37318,36218,31049,32379
[28/10/2018 11:00],29126,30621,,37209,36784,29990,31467
[28/10/2018 11:30],29189,30733,,37209,36784,30457,31980
[28/10/2018 12:00],29667,31359,,37704,36988,29596,31278
[28/10/2018 12:30],29882,31586,,37704,36988,30000,31688
[28/10/2018 13:00],30133,31843,,37445,36096,30043,31738
[28/10/2018 13:30],30494,32206,,37445,36096,30000,31695
[28/10/2018 14:00],30909,32623,,37286,35552,30279,31974
[28/10/2018 14:30],31459,33024,,37286,35552,30891,32431
[28/10/2018 15:00],32724,34180,,38016,36430,32109,33544
[28/10/2018 15:30],34063,35499,,38016,36430,33664,35098
[28/10/2018 16:00],35797,37363,,39958,39724,35542,37080
[28/10/2018 16:30],37660,39226,,39958,39724,38247,39780
[28/10/2018 17:00],40305,41864,,43538,42257,41078,42609
[28/10/2018 17:30],40551,42120,,43538,42257,41500,43040
[28/10/2018 18:00],39754,41318,,42590,40630,40780,42320
[28/10/2018 18:30],39110,40673,,42590,40630,39124,40664
[28/10/2018 19:00],38168,39731,,40779,38262,38247,39787
[28/10/2018 19:30],37024,38590,,40779,38262,36998,38538
[28/10/2018 20:00],35834,37404,,38479,35871,36062,37602
[28/10/2018 20:30],34635,36196,,38479,35871,34800,36336
[28/10/2018 21:00],33192,34671,,35666,32972,33607,35049
[28/10/2018 21:30],31386,32812,,35666,32972,31766,33171
[28/10/2018 22:00],29594,31070,,31064,29821,30470,31920
[28/10/2018 22:30],28000,29551,,31064,29821,28693,30218
[28/10/2018 23:00],26281,27755,,29254,27177,26982,28361
[28/10/2018 23:30],25394,26523,,29254,27177,25700,26800
[29/10/2018 00:00],25092,26152,,28783,26608,25400,26436
[29/10/2018 00:30],25410,26400,,28783,26608,25500,26457
[29/10/2018 01:00],25146,26182,,28420,25893,25170,26188
[29/10/2018 01:30],24668,25742,,28420,25893,24663,25704
[29/10/2018 02:00],24308,25306,,27555,25397,24312,25219
[29/10/2018 02:30],24142,25768,,27555,25397,24136,25761
[29/10/2018 03:00],23832,26091,,26183,25292,24186,26505
[29/10/2018 03:30],23616,25873,,26183,25292,23948,26250
[29/10/2018 04:00],23589,25659,,26400,25809,24100,26313
[29/10/2018 04:30],24074,26306,,26400,25809,24419,26622
[29/10/2018 05:00],25091,27239,,28781,28454,25427,27548
[29/10/2018 05:30],26762,28885,,28781,28454,26924,29039
[29/10/2018 06:00],30178,31671,,34103,34508,30160,31588
[29/10/2018 06:30],32967,33767,,34103,34508,33222,34079
[29/10/2018 07:00],36004,38123,,38507,39215,36248,38342
[29/10/2018 07:30],36973,39106,,38507,39215,37351,39445
[29/10/2018 08:00],37684,39916,,41195,40843,37800,39989
[29/10/2018 08:30],37605,39838,,41195,40843,37165,39354
[29/10/2018 09:00],37782,39807,,42476,41794,36700,38683
[29/10/2018 09:30],37153,39176,,42476,41794,36406,38389
[29/10/2018 10:00],36271,38407,,42234,42024,35783,37877
[29/10/2018 10:30],35680,37816,,42234,42024,35400,37494
[29/10/2018 11:00],35272,37408,,42134,41960,35233,37327
[29/10/2018 11:30],35014,37150,,42134,41960,35141,37235
[29/10/2018 12:00],35274,37403,,42097,41636,35284,37378
[29/10/2018 12:30],35449,37573,,42097,41636,35235,37329
[29/10/2018 13:00],35629,38278,,41152,40690,34900,37500
[29/10/2018 13:30],35778,38431,,41152,40690,35036,37636
[29/10/2018 14:00],36289,38601,,40906,40303,35461,38061
[29/10/2018 14:30],37149,39800,,40906,40303,36085,38685
[29/10/2018 15:00],37980,40633,,40976,41039,36843,39443
[29/10/2018 15:30],39459,41705,,40976,41039,38354,40954
[29/10/2018 16:00],40949,42159,,44416,44797,40509,41640
[29/10/2018 16:30],43018,44178,,44416,44797,43325,44456
[29/10/2018 17:00],45467,46075,,49037,46867,45293,45893
[29/10/2018 17:30],45641,46250,,49037,46867,45600,46200
[29/10/2018 18:00],45296,45905,,48045,46085,45340,45940
[29/10/2018 18:30],44755,45367,,48045,46085,44910,45510
[29/10/2018 19:00],43801,44413,,46315,43774,43683,44283
[29/10/2018 19:30],42296,42913,,46315,43774,42474,43074
[29/10/2018 20:00],40660,41302,,42356,40678,41077,41677
[29/10/2018 20:30],38814,39556,,42356,40678,39300,39900
[29/10/2018 21:00],36969,39405,,36680,36640,37520,39968
[29/10/2018 21:30],34751,37250,,36680,36640,35270,37718
[29/10/2018 22:00],33136,35785,,32471,32152,32846,35446
[29/10/2018 22:30],30489,32813,,32471,32152,30784,33384
[29/10/2018 23:00],28441,29121,,30800,28909,28670,29270
[29/10/2018 23:30],27240,28054,,30800,28909,27300,28102
[30/10/2018 00:00],26879,27934,,30564,28167,26900,27944
[30/10/2018 00:30],26981,28346,,30564,28167,27100,28431
[30/10/2018 01:00],26811,28343,,29622,27255,26719,28268
[30/10/2018 01:30],26430,28676,,29622,27255,26131,28120
[30/10/2018 02:00],25949,28646,,27974,26452,25551,28204
[30/10/2018 02:30],25602,28288,,27974,26452,25410,28059
[30/10/2018 03:00],25175,27845,,27413,25813,25051,27689
[30/10/2018 03:30],24893,27384,,27413,25813,24782,27515
[30/10/2018 04:00],24719,27065,,26417,25801,24700,27291
[30/10/2018 04:30],25013,27328,,26417,25801,24858,27415
[30/10/2018 05:00],25975,28484,,27343,27479,25660,28405
[30/10/2018 05:30],27441,29857,,27343,27479,27398,30066
[30/10/2018 06:00],30351,33448,,31540,30918,30600,33965
[30/10/2018 06:30],33158,36167,,31540,30918,34052,37012
[30/10/2018 07:00],36326,39509,,36597,35414,37180,40313
[30/10/2018 07:30],37704,41096,,36597,35414,38554,41886
[30/10/2018 08:00],38722,41514,,39301,40622,39200,41941
[30/10/2018 08:30],38788,41641,,39301,40622,39181,41981
[30/10/2018 09:00],38992,40984,,40659,41585,39100,41056
[30/10/2018 09:30],38850,40830,,40659,41585,38993,40949
[30/10/2018 10:00],38389,40894,,39988,41739,38715,41187
[30/10/2018 10:30],38040,40548,,39988,41739,38400,40872
[30/10/2018 11:00],37880,40424,,40286,42057,38267,40775
[30/10/2018 11:30],37804,39750,,40286,42057,38060,40568
[30/10/2018 12:00],38019,40410,,41017,42167,37648,39977
[30/10/2018 12:30],38066,40428,,41017,42167,37652,39981
[30/10/2018 13:00],38227,40475,,41117,41887,37800,40016
[30/10/2018 13:30],38326,40576,,41117,41887,38009,40225
[30/10/2018 14:00],38544,40482,,41056,41706,38477,40387
[30/10/2018 14:30],38757,40696,,41056,41706,38686,40596
[30/10/2018 15:00],39349,40910,,42207,42157,39109,40649
[30/10/2018 15:30],40258,41826,,42207,42157,40390,41930
[30/10/2018 16:00],41817,43390,,45663,45545,41728,43268
[30/10/2018 16:30],43656,45226,,45663,45545,44192,45732
[30/10/2018 17:00],45571,47136,,48997,47008,46200,47740
[30/10/2018 17:30],45808,47370,,48997,47008,46163,47703
[30/10/2018 18:00],45473,47038,,48256,45460,45556,47096
[30/10/2018 18:30],44671,46236,,48256,45460,44832,46372
[30/10/2018 19:00],43524,45089,,45099,42911,44332,45872
[30/10/2018 19:30],42457,44016,,45099,42911,43057,44597
[30/10/2018 20:00],41206,42767,,42379,40394,41559,43099
[30/10/2018 20:30],39393,40958,,42379,40394,39900,41440
[30/10/2018 21:00],37655,39216,,37102,36349,37880,39420
[30/10/2018 21:30],35630,37128,,37102,36349,35750,37224
[30/10/2018 22:00],33292,35120,,31668,32536,33365,35172
[30/10/2018 22:30],31259,33026,,31668,32536,31301,33027
[30/10/2018 23:00],29236,30401,,15425,28787,29216,30344
[30/10/2018 23:30],28020,29371,,15425,28787,27800,29115
[31/10/2018 00:00],27607,29612,,28850,27730,26700,28708
[31/10/2018 00:30],27613,30118,,28850,27730,26500,29129
[31/10/2018 01:00],27382,30046,,28786,27284,26260,29039
[31/10/2018 01:30],26870,29617,,28786,27284,25722,28470
[31/10/2018 02:00],26465,29070,,28503,26825,25353,27942
[31/10/2018 02:30],26284,28923,,28503,26825,25279,27906
[31/10/2018 03:00],25981,28415,,27496,26197,25177,27604
[31/10/2018 03:30],25580,28000,,27496,26197,25042,27440
[31/10/2018 04:00],25421,27906,,26349,26449,25200,27681
[31/10/2018 04:30],25668,28146,,26349,26449,25243,27715
[31/10/2018 05:00],26452,29076,,27949,29122,26067,28791
[31/10/2018 05:30],28029,30713,,27949,29122,27447,30107
[31/10/2018 06:00],31295,34116,,33531,34961,30978,33808
[31/10/2018 06:30],34251,36443,,33531,34961,34295,36446
[31/10/2018 07:00],37074,38695,,39055,39157,37395,38942
[31/10/2018 07:30],38237,39860,,39055,39157,38400,40037
[31/10/2018 08:00],38707,40108,,41531,40678,38238,39664
[31/10/2018 08:30],38354,40009,,41531,40678,37921,39564
[31/10/2018 09:00],38063,40125,,41825,41543,38000,40029
[31/10/2018 09:30],37532,39475,,41825,41543,37506,39539
[31/10/2018 10:00],36829,40105,,40225,41823,36876,40108
[31/10/2018 10:30],36275,39607,,40225,41823,36618,39909
[31/10/2018 11:00],35891,39401,,39891,41510,36579,40036
[31/10/2018 11:30],35954,39547,,39891,41510,36695,40229
[31/10/2018 12:00],36246,39792,,39394,41668,36600,40091
[31/10/2018 12:30],36197,39798,,39394,41668,36590,40130
[31/10/2018 13:00],36363,39964,,38661,41685,36099,39639
[31/10/2018 13:30],36697,40298,,38661,41685,36100,39640
[31/10/2018 14:00],37213,40500,,38614,41397,36385,39611
[31/10/2018 14:30],37631,40551,,38614,41397,36605,39831
[31/10/2018 15:00],37949,40458,,39523,41834,36992,39454
[31/10/2018 15:30],39235,41789,,39523,41834,38218,40680
[31/10/2018 16:00],40785,42354,,44590,44330,39950,41490
[31/10/2018 16:30],42654,44221,,44590,44330,42830,44370
[31/10/2018 17:00],43988,45554,,47443,46455,44700,46240
[31/10/2018 17:30],43467,45032,,47443,46455,44496,46036
[31/10/2018 18:00],42532,44097,,45722,45546,43910,45450
[31/10/2018 18:30],41600,43165,,45722,45546,43332,44872
[31/10/2018 19:00],40889,42454,,44059,43324,42613,44153
[31/10/2018 19:30],40084,41644,,44059,43324,41564,43104
[31/10/2018 20:00],38975,40534,,41769,40034,39549,41089
[31/10/2018 20:30],37599,39159,,41769,40034,37800,39340
[31/10/2018 21:00],35792,37351,,38109,36227,36142,37682
[31/10/2018 21:30],33584,35144,,38109,36227,34162,35702
[31/10/2018 22:00],31596,33156,,33405,31975,32148,33688
[31/10/2018 22:30],29776,31342,,33405,31975,30416,31956
[31/10/2018 23:00],28118,29842,,30550,28637,28597,30295
[31/10/2018 23:30],27035,28851,,30550,28637,27300,29087
[01/11/2018 00:00],26546,28317,,29443,27866,26900,28651
[01/11/2018 00:30],26587,28506,,29443,27866,26800,28725
[01/11/2018 01:00],26183,28744,,28023,26845,26672,29231
[01/11/2018 01:30],25613,28272,,28023,26845,26338,28998
[01/11/2018 02:00],25353,28112,,27333,26096,25896,28746
[01/11/2018 02:30],25155,28004,,27333,26096,25582,28425
[01/11/2018 03:00],24724,27479,,26712,25571,25193,27961
[01/11/2018 03:30],24494,27247,,26712,25571,24944,27702
[01/11/2018 04:00],24440,27140,,26673,25881,24800,27510
[01/11/2018 04:30],24624,27318,,26673,25881,25090,27790
[01/11/2018 05:00],25533,28082,,28410,28456,26052,28596
[01/11/2018 05:30],26855,29087,,28410,28456,27505,29720
[01/11/2018 06:00],29800,30957,,34762,34872,30702,31861
[01/11/2018 06:30],32745,33429,,34762,34872,34159,34828
[01/11/2018 07:00],35626,36486,,39808,39475,37290,38182
[01/11/2018 07:30],37145,38215,,39808,39475,38660,39736
[01/11/2018 08:00],37976,39259,,41558,40802,39300,40573
[01/11/2018 08:30],38017,39392,,41558,40802,39278,40587
[01/11/2018 09:00],38388,39731,,42843,41364,38600,39921
[01/11/2018 09:30],38043,39384,,42843,41364,38390,39713
[01/11/2018 10:00],37747,39192,,43213,41322,38012,39435
[01/11/2018 10:30],37594,39079,,43213,41322,37600,39062
[01/11/2018 11:00],37559,39153,,43512,41531,37448,39016
[01/11/2018 11:30],37479,39082,,43512,41531,37226,38806
[01/11/2018 12:00],37427,39033,,43465,41525,37210,38790
[01/11/2018 12:30],37175,38784,,43465,41525,37134,38714
[01/11/2018 13:00],37345,38950,,42917,41437,37200,38780
[01/11/2018 13:30],37220,38827,,42917,41437,37367,38947
[01/11/2018 14:00],37463,39141,,42536,41119,37789,39441
[01/11/2018 14:30],37703,39312,,42536,41119,37956,39537
[01/11/2018 15:00],38183,39788,,42810,41332,38333,39913
[01/11/2018 15:30],39264,40866,,42810,41332,39548,41128
[01/11/2018 16:00],40324,41932,,44354,44364,40817,42397
[01/11/2018 16:30],41917,43519,,44354,44364,43183,44763
[01/11/2018 17:00],43068,44669,,46586,46206,45100,46680
[01/11/2018 17:30],43131,44732,,46586,46206,45022,46602
[01/11/2018 18:00],43034,44637,,46287,44883,44388,45968
[01/11/2018 18:30],42608,44214,,46287,44883,43641,45221
[01/11/2018 19:00],42239,43857,,45034,42870,42990,44570
[01/11/2018 19:30],41109,42719,,45034,42870,41685,43265
[01/11/2018 20:00],39866,41468,,42448,39667,40167,41747
[01/11/2018 20:30],38217,39821,,42448,39667,38500,40080
[01/11/2018 21:00],36350,37930,,38670,35940,36636,38196
[01/11/2018 21:30],34209,35801,,38670,35940,34656,36225
[01/11/2018 22:00],32020,33625,,34530,31854,32418,33998
[01/11/2018 22:30],30244,31847,,34530,31854,30484,32064
[01/11/2018 23:00],28314,29930,,31042,28614,28520,30106
[01/11/2018 23:30],27090,28672,,31042,28614,27200,28751
[02/11/2018 00:00],26706,28100,,30332,27829,26700,28048
[02/11/2018 00:30],26956,28282,,30332,27829,26700,27997
[02/11/2018 01:00],26487,28458,,28875,26926,26471,28421
[02/11/2018 01:30],25937,28477,,28875,26926,25901,28435
[02/11/2018 02:00],25467,28376,,27337,26231,25486,28369
[02/11/2018 02:30],25204,28206,,27337,26231,25443,28446
[02/11/2018 03:00],24796,27986,,26619,25795,25138,28312
[02/11/2018 03:30],24586,27769,,26619,25795,24608,27777
[02/11/2018 04:00],24562,27719,,26783,26054,24500,27690
[02/11/2018 04:30],24840,27842,,26783,26054,24677,27732
[02/11/2018 05:00],25811,28310,,28967,28204,25468,27988
[02/11/2018 05:30],27248,29478,,28967,28204,26762,28979
[02/11/2018 06:00],30385,31767,,34911,34303,29904,31333
[02/11/2018 06:30],33317,34380,,34911,34303,33176,34252
[02/11/2018 07:00],36221,37594,,39411,39423,36432,37794
[02/11/2018 07:30],37286,38834,,39411,39423,37720,39253
[02/11/2018 08:00],37692,39300,,42443,41222,38200,39780
[02/11/2018 08:30],37228,38836,,42443,41222,37602,39182
[02/11/2018 09:00],36914,38519,,42415,41626,37200,38780
[02/11/2018 09:30],36415,38017,,42415,41626,36424,38004
[02/11/2018 10:00],35444,37026,,40953,41422,35648,37208
[02/11/2018 10:30],34920,36411,,40953,41422,35000,36466
[02/11/2018 11:00],34679,36019,,40972,41422,34504,35820
[02/11/2018 11:30],34595,35833,,40972,41422,34602,35820
[02/11/2018 12:00],34484,35536,,41164,41210,34342,35501
[02/11/2018 12:30],34105,35089,,41164,41210,34470,35561
[02/11/2018 13:00],34128,35179,,39902,40585,34700,35731
[02/11/2018 13:30],34417,35347,,39902,40585,35047,35952
[02/11/2018 14:00],35073,35840,,39535,40184,35702,36494
[02/11/2018 14:30],35599,36395,,39535,40184,36279,37071
[02/11/2018 15:00],36549,37157,,40449,40109,36826,37426
[02/11/2018 15:30],37956,38565,,40449,40109,38107,38707
[02/11/2018 16:00],39299,39913,,44644,43227,39837,40437
[02/11/2018 16:30],41566,42176,,44644,43227,42414,43014
[02/11/2018 17:00],43143,43751,,47823,44258,43300,43900
[02/11/2018 17:30],43100,43709,,47823,44258,43142,43742
[02/11/2018 18:00],42427,43038,,46053,42781,42288,42888
[02/11/2018 18:30],41608,42225,,46053,42781,41373,41973
[02/11/2018 19:00],40482,41100,,42902,40572,40348,40948
[02/11/2018 19:30],38985,39603,,42902,40572,39526,40126
[02/11/2018 20:00],37487,38348,,39326,37628,38035,38888
[02/11/2018 20:30],35749,36614,,39326,37628,36600,37453
[02/11/2018 21:00],33921,35507,,35188,34189,34564,36127
[02/11/2018 21:30],32040,33624,,35188,34189,32664,34227
[02/11/2018 22:00],30099,32589,,30905,30798,30618,33068
[02/11/2018 22:30],28270,30384,,30905,30798,28947,31397
[02/11/2018 23:00],26551,27166,,30542,28197,27226,27826
[02/11/2018 23:30],25394,26008,,30542,28197,26200,26800
[03/11/2018 00:00],24862,25478,,29598,27290,25400,26000
[03/11/2018 00:30],24826,25438,,29598,27290,25000,25600
[03/11/2018 01:00],24300,24915,,28377,26273,24470,25070
[03/11/2018 01:30],23377,24067,,28377,26273,23726,24326
[03/11/2018 02:00],22695,23637,,26043,25241,23004,23897
[03/11/2018 02:30],22172,23882,,26043,25241,22607,24311
[03/11/2018 03:00],21528,23315,,23617,24157,22043,23829
[03/11/2018 03:30],20891,22675,,23617,24157,21559,23338
[03/11/2018 04:00],20589,22412,,22694,23784,21109,22930
[03/11/2018 04:30],20544,22371,,22694,23784,21000,22813
[03/11/2018 05:00],20758,22581,,23277,24378,21066,22881
[03/11/2018 05:30],21021,22762,,23277,24378,21524,23258
[03/11/2018 06:00],22596,24093,,26629,26712,22892,24362
[03/11/2018 06:30],23940,24640,,26629,26712,24080,24784
[03/11/2018 07:00],25454,26770,,28950,29670,25473,26888
[03/11/2018 07:30],26626,28074,,28950,29670,26716,28131
[03/11/2018 08:00],27739,28503,,32269,33218,28420,29020
[03/11/2018 08:30],28731,29496,,32269,33218,29600,30200
[03/11/2018 09:00],29735,30500,,35731,34727,30100,30700
[03/11/2018 09:30],29810,30574,,35731,34727,30101,30701
[03/11/2018 10:00],29712,30476,,36372,35247,29968,30568
[03/11/2018 10:30],29566,30328,,36372,35247,29600,30200
[03/11/2018 11:00],29366,30128,,36215,35098,29299,29899
[03/11/2018 11:30],29283,30046,,36215,35098,29214,29814
[03/11/2018 12:00],29306,30069,,37037,34906,29343,29943
[03/11/2018 12:30],29294,30057,,37037,34906,29177,29777
[03/11/2018 13:00],29234,29997,,35916,34229,29228,29828
[03/11/2018 13:30],29163,29929,,35916,34229,29000,29600
[03/11/2018 14:00],29380,30143,,35482,33843,29194,29794
[03/11/2018 14:30],29669,30433,,35482,33843,29563,30163
[03/11/2018 15:00],29919,30680,,34586,34406,30335,30935
[03/11/2018 15:30],30709,31361,,34586,34406,31160,31760
[03/11/2018 16:00],32098,32707,,38011,37746,32518,33118
[03/11/2018 16:30],34300,34908,,38011,37746,35230,35830
[03/11/2018 17:00],36302,36911,,42440,39587,37400,38000
[03/11/2018 17:30],36096,36703,,42440,39587,37371,37971
[03/11/2018 18:00],35383,35991,,40929,37166,36323,36923
[03/11/2018 18:30],34340,34952,,40929,37166,34838,35438
[03/11/2018 19:00],32993,33602,,37455,34729,33327,33927
[03/11/2018 19:30],31652,32266,,37455,34729,32237,32837
[03/11/2018 20:00],30700,31313,,35922,33272,31599,32199
[03/11/2018 20:30],29831,30440,,35922,33272,30800,31400
[03/11/2018 21:00],28879,29654,,32096,31075,29776,30474
[03/11/2018 21:30],27722,28432,,32096,31075,27708,28406
[03/11/2018 22:00],26427,27964,,28672,28636,26519,28039
